feature,catboost,lightgbm,xgboost,mean,catboost_shap
home_wins_5,0.0008850051021184892,0.0001381347635962232,0.0035467945926561787,0.0015233114861236303,0.0007447953161116614
draws_diff_3,0.0010502829970395209,0.0006575298280958453,0.0028586781512246516,0.0015221636587866728,0.0011208928258741571
home_win_pct_5,0.0006729836115991534,0.00023047113611306886,0.0036580770701189033,0.0015205106059437085,0.0009546839152104744
home_home_played_5,0.0017266957934729658,0.0006773002438779117,0.0019352034366134443,0.001446399824654774,0.0012554854864074347
home_clean_sheets_3,0.0016382017736228994,0.0003407943076533111,0.0022936599826306465,0.0014242186879689523,0.0016859458267122244
home_matches_in_window_3,0.000310112230296708,3.0738115074645264e-05,0.003899097120016847,0.0014133158217960668,0.00018732439894607217
wins_diff_3,0.0011420156538385754,0.0002418052708544381,0.002828779177008497,0.0014042000339005035,0.0008504407315453096
away_avg_goals_scored_3,0.0018707270805173462,0.0001113858996788747,0.0020473796563832804,0.0013431642121931673,0.002067493164741822
away_failed_to_score_3,0.0007995464342030659,0.00029802423844170825,0.002864399842239442,0.0013206568382947384,0.0009646516590715561
away_losses_5,0.0011210770445089291,0.00043449836655959346,0.002353553147559096,0.001303042852875873,0.0010028255139798283
away_clean_sheets_3,0.0013182180088875325,0.0002695986475348688,0.0019174476732431486,0.00116842144322185,0.0020268435421340308
wins_diff_5,0.0010307998829834318,5.5412001765663324e-05,0.0,0.00036207062824969834,0.0013028597156673032
away_win_pct_3,0.000629939239394462,2.2734020479201223e-05,0.0,0.00021755775329122104,0.0007213820618915251
home_wins_3,0.00045555342072110203,0.00014453498618695687,0.0,0.00020002946896935297,0.0005370767667720764
home_matches_in_window_5,0.000499974354397581,8.453250937194702e-05,0.0,0.00019483562125650932,0.0002848675969453483
away_matches_in_window_3,0.00011424533503032946,0.0,0.0,3.8081778343443154e-05,7.757514086488259e-05
